5	5	5	-0.0175731	-0.299273	-0.135959
5	5	15	0.200051	-0.300405	0.268406
5	5	25	0.0615404	0.0539231	-0.179019
5	5	35	0.219331	-0.063449	-1.04912
5	5	45	-0.257189	-0.600105	-1.30718
5	5	55	-0.201645	-0.246503	0.723588
5	5	65	-0.0091722	-0.148173	0.593191
5	5	75	-0.19327	-0.165898	0.00765189
5	5	85	-0.00109473	-0.421159	-0.2381
5	15	5	0.521656	-2.05529	0.140376
5	15	15	0.306483	-0.372338	0.125526
5	15	25	0.229971	0.575002	-0.447717
5	15	35	0.385573	0.317152	-0.750738
5	15	45	-0.385257	0.0710275	-0.745338
5	15	55	-0.248487	0.113937	0.739106
5	15	65	-0.135287	0.308327	0.670033
5	15	75	-0.121633	0.312848	0.0149277
5	15	85	0.235988	-1.21753	-0.507667
5	25	5	0.557311	-1.96319	-0.619576
5	25	15	0.431255	0.440309	-2.03081
5	25	25	0.222335	0.0282928	-0.854846
5	25	35	0.187155	0.697614	0.11102
5	25	45	0.0767772	0.177513	1.13974
5	25	55	-0.0348271	0.389008	0.192112
5	25	65	-0.434245	-0.256317	-0.378044
5	25	75	-0.0997681	-0.34344	0.163097
5	25	85	-0.217543	-1.04761	0.836399
5	35	5	0.545002	0.364876	-1.1656
5	35	15	0.0627806	0.298446	-0.241117
5	35	25	0.0483879	-0.0413306	0.312703
5	35	35	-0.137098	-0.0261221	0.967283
5	35	45	-0.0751506	1.01671	1.63292
5	35	55	0.254017	2.1335	0.530461
5	35	65	-0.326735	-0.423426	-0.806483
5	35	75	-0.0817231	-0.321221	-0.611619
5	35	85	0.542965	-0.351069	-0.847127
5	45	5	0.285386	0.275668	-0.301974
5	45	15	0.9218	-0.0670717	1.31621
5	45	25	0.0657017	-0.338905	0.633825
5	45	35	0.14285	-0.0669954	-0.00421376
5	45	45	0.382777	0.746048	-0.320604
5	45	55	0.399695	1.23207	0.494599
5	45	65	0.0255925	0.219362	0.250139
5	45	75	-0.121673	-0.141627	-0.516641
5	45	85	0.0610018	-0.0520228	-1.55439
5	55	5	-0.0715363	-0.575158	0.11963
5	55	15	-0.0612182	0.3811	1.6289
5	55	25	0.0131899	0.137658	0.438701
5	55	35	0.243517	-0.0156893	-0.246213
5	55	45	0.106424	-0.375144	-0.234952
5	55	55	0.225721	-0.401986	0.557877
5	55	65	0.0670974	0.0282251	0.410441
5	55	75	0.101421	0.399526	-0.552331
5	55	85	0.147662	0.264516	-1.79459
5	65	5	-0.451903	-0.868781	-0.858848
5	65	15	0.340428	-0.458415	-0.649724
5	65	25	0.173923	0.111691	0.156661
5	65	35	0.0325372	-0.128847	0.86029
5	65	45	-0.0379779	-1.2554	1.31084
5	65	55	-0.297982	-1.56709	-0.165177
5	65	65	-0.199902	-0.440794	-0.510201
5	65	75	-0.0652734	0.321058	0.161516
5	65	85	-0.135962	0.225908	-0.409463
5	75	5	0.226088	1.2891	-0.60841
5	75	15	0.36011	-0.661869	-2.04765
5	75	25	0.316367	-0.185756	-0.920246
5	75	35	0.486408	-0.309514	0.38096
5	75	45	0.374049	-1.23733	0.271551
5	75	55	-0.152368	-1.17338	-0.203
5	75	65	-0.255497	-0.42309	0.0440413
5	75	75	-0.207666	-0.418618	0.709301
5	75	85	-0.352414	-0.306819	1.7868
5	85	5	0.262392	1.02895	-0.36045
5	85	15	0.414952	-0.0757826	0.167455
5	85	25	0.136857	-0.421039	-0.595535
5	85	35	-0.159186	-0.64135	-0.707791
5	85	45	0.197936	-0.739569	-1.48634
5	85	55	0.0988161	-0.38486	0.482202
5	85	65	-0.0983613	-0.68632	0.403932
5	85	75	-0.246033	-0.538059	0.247609
5	85	85	-0.044777	0.419362	-0.313509
15	5	5	0.34461	-0.335326	-0.539577
15	5	15	0.694974	0.102674	-0.124574
15	5	25	0.302102	-0.141804	-0.174863
15	5	35	-0.322341	0.0777657	-0.18032
15	5	45	-3.13078	-0.365353	-0.0516844
15	5	55	-2.90514	-0.108132	0.171251
15	5	65	-0.162541	-0.0400469	0.269391
15	5	75	0.278236	-0.0690452	0.206727
15	5	85	0.454932	-0.163046	-0.506048
15	15	5	0.156947	-2.66253	-0.10044
15	15	15	1.93147	-0.117718	-0.868322
15	15	25	0.344174	0.0970882	-0.563057
15	15	35	-0.254106	0.392899	0.00492551
15	15	45	-4.05721	-0.155562	0.249213
15	15	55	-3.07472	-0.963397	-1.27601
15	15	65	0.108715	-0.255116	-0.275528
15	15	75	0.451779	0.08376	0.180281
